Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,API
31.0,2.0,2.0,2.0,2.0,2.0,571654.3537,4456731.245,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,572056.9384,4456739.086,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,572459.5232,4456746.928,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,572862.108,4456754.769,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,572862.108,4456754.769,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,572862.108,4456754.769,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,572849.9399,4457549.213,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,572837.3191,4458361.895,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,572837.3191,4458361.895,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,572837.3191,4458361.895,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,572837.3191,4458361.895,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,572837.3191,4458361.895,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,571253.9805,4458332.591,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,571253.9805,4458332.591,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,571253.9805,4458332.591,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,571253.9805,4458332.591,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,571266.5594,4457529.377,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,571277.959,4456723.908,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,571277.959,4456723.908,4301354118.0
30.0,2.0,2.0,2.0,2.0,2.0,571262.4515,4458331.226,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,571262.4515,4458331.226,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,572845.7901,4458360.53,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,572845.7901,4458360.53,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,572845.7901,4458360.53,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,572845.7901,4458360.53,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,572845.7901,4458360.53,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,572845.7901,4458360.53,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,572824.9911,4459973.254,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,572824.9911,4459973.254,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,572824.9911,4459973.254,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,572824.9911,4459973.254,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,572824.9911,4459973.254,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,571244.7848,4459941.817,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,571244.7848,4459941.817,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,571244.7848,4459941.817,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,571244.7848,4459941.817,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,571255.0036,4459151.536,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,571257.0473,4458734.182,4301354171.0
30.0,2.0,2.0,2.0,2.0,2.0,571262.4473,4458331.227,4301354171.0
23.0,2.0,2.0,1.0,2.0,2.0,587313.7785,4460190.689,4304756623.0
23.0,2.0,2.0,1.0,2.0,2.0,587313.7785,4460190.689,4304756623.0
23.0,2.0,2.0,1.0,2.0,2.0,588118.3511,4460211.058,4304756623.0
