Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,API
17.0,3.0,2.0,2.0,2.0,2.0,572889.6153,4453543.368,4301353894.0
17.0,3.0,2.0,2.0,2.0,2.0,572889.6153,4453543.368,4301353894.0
17.0,3.0,2.0,2.0,2.0,2.0,572930.958,4452736.695,4301353894.0
17.0,3.0,2.0,2.0,2.0,2.0,572969.5683,4451921.745,4301353894.0
17.0,3.0,2.0,2.0,2.0,2.0,572969.5683,4451921.745,4301353894.0
16.0,3.0,2.0,2.0,2.0,2.0,574582.8721,4451951.522,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,574986.2075,4451953.804,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,575382.7639,4451966.549,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,575783.9596,4451980.937,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,576185.1553,4451995.324,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,576185.1553,4451995.324,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,576168.8598,4452402.525,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,576152.5642,4452809.726,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,576136.2687,4453216.927,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,576119.9731,4453624.128,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,576119.9731,4453624.128,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,575716.8358,4453608.4,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,575313.6986,4453592.672,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,574910.5613,4453576.945,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,574507.424,4453561.217,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,574507.424,4453561.217,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,574526.4148,4453158.31,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,574545.4057,4452755.403,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,574564.1381,4452353.461,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,574582.8706,4451951.519,4301353695.0
31.0,2.0,2.0,2.0,2.0,2.0,571277.8509,4456723.904,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,571654.3537,4456731.245,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,572056.9384,4456739.086,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,572459.5232,4456746.928,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,572862.108,4456754.769,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,572862.108,4456754.769,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,572862.108,4456754.769,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,572849.9399,4457549.213,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,572837.3191,4458361.895,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,572837.3191,4458361.895,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,572837.3191,4458361.895,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,572837.3191,4458361.895,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,572837.3191,4458361.895,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,571253.9805,4458332.591,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,571253.9805,4458332.591,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,571253.9805,4458332.591,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,571253.9805,4458332.591,4301354118.0
31.0,2.0,2.0,2.0,2.0,2.0,571266.5594,4457529.377,4301354118.0
