Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,API
23.0,2.0,2.0,1.0,2.0,2.0,587308.2542,4460205.686,4304755843.0
23.0,2.0,2.0,1.0,2.0,2.0,587308.2542,4460205.686,4304755843.0
23.0,2.0,2.0,1.0,2.0,2.0,588113.0576,4460212.292,4304755843.0
23.0,2.0,2.0,1.0,2.0,2.0,588917.7184,4460218.811,4304755843.0
23.0,2.0,2.0,1.0,2.0,2.0,588917.7184,4460218.811,4304755843.0
23.0,2.0,2.0,1.0,2.0,2.0,588917.7184,4460218.811,4304755843.0
23.0,2.0,2.0,1.0,2.0,2.0,588917.7184,4460218.811,4304755843.0
23.0,2.0,2.0,1.0,2.0,2.0,588913.0348,4461023.189,4304755843.0
23.0,2.0,2.0,1.0,2.0,2.0,588908.1039,4461826.557,4304755843.0
23.0,2.0,2.0,1.0,2.0,2.0,588908.1039,4461826.557,4304755843.0
23.0,2.0,2.0,1.0,2.0,2.0,588908.1039,4461826.557,4304755843.0
23.0,2.0,2.0,1.0,2.0,2.0,588908.1039,4461826.557,4304755843.0
23.0,2.0,2.0,1.0,2.0,2.0,588102.008,4461820.753,4304755843.0
23.0,2.0,2.0,1.0,2.0,2.0,587297.3569,4461814.96,4304755843.0
23.0,2.0,2.0,1.0,2.0,2.0,587297.3569,4461814.96,4304755843.0
23.0,2.0,2.0,1.0,2.0,2.0,587297.3569,4461814.96,4304755843.0
23.0,2.0,2.0,1.0,2.0,2.0,587297.3569,4461814.96,4304755843.0
23.0,2.0,2.0,1.0,2.0,2.0,587302.2373,4461010.278,4304755843.0
23.0,2.0,2.0,1.0,2.0,2.0,587308.2524,4460205.69,4304755843.0
23.0,2.0,2.0,1.0,2.0,2.0,587308.2524,4460205.69,4304755843.0
14.0,2.0,2.0,2.0,2.0,2.0,577651.7051,4461616.319,4301353987.0
14.0,2.0,2.0,2.0,2.0,2.0,577651.7051,4461616.319,4301353987.0
14.0,2.0,2.0,2.0,2.0,2.0,578455.5834,4461690.063,4301353987.0
14.0,2.0,2.0,2.0,2.0,2.0,579260.9977,4461698.49,4301353987.0
14.0,2.0,2.0,2.0,2.0,2.0,579260.9977,4461698.49,4301353987.0
14.0,2.0,2.0,2.0,2.0,2.0,579260.9977,4461698.49,4301353987.0
14.0,2.0,2.0,2.0,2.0,2.0,579260.9977,4461698.49,4301353987.0
14.0,2.0,2.0,2.0,2.0,2.0,579252.2388,4462514.096,4301353987.0
14.0,2.0,2.0,2.0,2.0,2.0,579238.7368,4463266.716,4301353987.0
14.0,2.0,2.0,2.0,2.0,2.0,579238.7368,4463266.716,4301353987.0
14.0,2.0,2.0,2.0,2.0,2.0,579238.7368,4463266.716,4301353987.0
14.0,2.0,2.0,2.0,2.0,2.0,579238.7368,4463266.716,4301353987.0
14.0,2.0,2.0,2.0,2.0,2.0,578433.5314,4463250.435,4301353987.0
14.0,2.0,2.0,2.0,2.0,2.0,577627.0394,4463233.565,4301353987.0
14.0,2.0,2.0,2.0,2.0,2.0,577627.0394,4463233.565,4301353987.0
14.0,2.0,2.0,2.0,2.0,2.0,577627.0394,4463233.565,4301353987.0
14.0,2.0,2.0,2.0,2.0,2.0,577627.0394,4463233.565,4301353987.0
14.0,2.0,2.0,2.0,2.0,2.0,577647.5813,4462420.947,4301353987.0
14.0,2.0,2.0,2.0,2.0,2.0,577651.6734,4461616.322,4301353987.0
14.0,2.0,2.0,2.0,2.0,2.0,577651.6734,4461616.322,4301353987.0
1.0,7.0,2.0,19.0,1.0,1.0,607168.1746,4454259.238,4304756225.0
1.0,7.0,2.0,19.0,1.0,1.0,607571.7547,4454281.309,4304756225.0
1.0,7.0,2.0,19.0,1.0,1.0,607975.5267,4454303.663,4304756225.0
1.0,7.0,2.0,19.0,1.0,1.0,608378.894,4454325.66,4304756225.0
1.0,7.0,2.0,19.0,1.0,1.0,608779.2764,4454347.926,4304756225.0
1.0,7.0,2.0,19.0,1.0,1.0,608779.2764,4454347.926,4304756225.0
1.0,7.0,2.0,19.0,1.0,1.0,608761.7908,4454756.594,4304756225.0
1.0,7.0,2.0,19.0,1.0,1.0,608744.3053,4455165.261,4304756225.0
1.0,7.0,2.0,19.0,1.0,1.0,608722.6883,4455587.53,4304756225.0
1.0,7.0,2.0,19.0,1.0,1.0,608701.0714,4456009.799,4304756225.0
1.0,7.0,2.0,19.0,1.0,1.0,608701.0714,4456009.799,4304756225.0
1.0,7.0,2.0,19.0,1.0,1.0,608291.7222,4455993.447,4304756225.0
1.0,7.0,2.0,19.0,1.0,1.0,607882.4237,4455977.204,4304756225.0
1.0,7.0,2.0,19.0,1.0,1.0,607473.1166,4455960.831,4304756225.0
1.0,7.0,2.0,19.0,1.0,1.0,607063.8095,4455944.457,4304756225.0
1.0,7.0,2.0,19.0,1.0,1.0,607063.8095,4455944.457,4304756225.0
1.0,7.0,2.0,19.0,1.0,1.0,607090.1877,4455518.197,4304756225.0
1.0,7.0,2.0,19.0,1.0,1.0,607116.5659,4455091.937,4304756225.0
1.0,7.0,2.0,19.0,1.0,1.0,607142.3733,4454675.589,4304756225.0
1.0,7.0,2.0,19.0,1.0,1.0,607168.1807,4454259.24,4304756225.0
24.0,3.0,2.0,1.0,2.0,2.0,589014.4676,4450532.514,4304755753.0
24.0,3.0,2.0,1.0,2.0,2.0,589014.4676,4450532.514,4304755753.0
24.0,3.0,2.0,1.0,2.0,2.0,589818.0754,4450531.708,4304755753.0
24.0,3.0,2.0,1.0,2.0,2.0,590626.2942,4450530.364,4304755753.0
24.0,3.0,2.0,1.0,2.0,2.0,590626.2942,4450530.364,4304755753.0
24.0,3.0,2.0,1.0,2.0,2.0,590626.2942,4450530.364,4304755753.0
24.0,3.0,2.0,1.0,2.0,2.0,590626.2942,4450530.364,4304755753.0
24.0,3.0,2.0,1.0,2.0,2.0,590624.5456,4451331.861,4304755753.0
24.0,3.0,2.0,1.0,2.0,2.0,590623.9913,4452137.066,4304755753.0
24.0,3.0,2.0,1.0,2.0,2.0,590623.9913,4452137.066,4304755753.0
24.0,3.0,2.0,1.0,2.0,2.0,590623.9913,4452137.066,4304755753.0
24.0,3.0,2.0,1.0,2.0,2.0,590221.4948,4452136.143,4304755753.0
24.0,3.0,2.0,1.0,2.0,2.0,589818.9983,4452135.22,4304755753.0
24.0,3.0,2.0,1.0,2.0,2.0,589416.6214,4452134.005,4304755753.0
24.0,3.0,2.0,1.0,2.0,2.0,589014.2318,4452135.858,4304755753.0
24.0,3.0,2.0,1.0,2.0,2.0,589014.2318,4452135.858,4304755753.0
24.0,3.0,2.0,1.0,2.0,2.0,589014.2318,4452135.858,4304755753.0
24.0,3.0,2.0,1.0,2.0,2.0,589013.2034,4451338.432,4304755753.0
24.0,3.0,2.0,1.0,2.0,2.0,589014.4772,4450532.517,4304755753.0
24.0,3.0,2.0,1.0,2.0,2.0,589014.4772,4450532.517,4304755753.0
34.0,2.0,2.0,4.0,2.0,2.0,556830.6443,4456468.558,4301353936.0
34.0,2.0,2.0,4.0,2.0,2.0,557230.7491,4456469.695,4301353936.0
34.0,2.0,2.0,4.0,2.0,2.0,557630.8538,4456470.832,4301353936.0
34.0,2.0,2.0,4.0,2.0,2.0,558030.9962,4456472.137,4301353936.0
34.0,2.0,2.0,4.0,2.0,2.0,558431.1386,4456473.443,4301353936.0
34.0,2.0,2.0,4.0,2.0,2.0,558431.1386,4456473.443,4301353936.0
34.0,2.0,2.0,4.0,2.0,2.0,558431.5467,4456886.093,4301353936.0
34.0,2.0,2.0,4.0,2.0,2.0,558431.9548,4457298.743,4301353936.0
34.0,2.0,2.0,4.0,2.0,2.0,558432.351,4457699.374,4301353936.0
34.0,2.0,2.0,4.0,2.0,2.0,558432.7473,4458100.004,4301353936.0
34.0,2.0,2.0,4.0,2.0,2.0,558432.7473,4458100.004,4301353936.0
34.0,2.0,2.0,4.0,2.0,2.0,558031.0773,4458099.866,4301353936.0
34.0,2.0,2.0,4.0,2.0,2.0,557629.4073,4458099.728,4301353936.0
34.0,2.0,2.0,4.0,2.0,2.0,557225.4814,4458102.15,4301353936.0
34.0,2.0,2.0,4.0,2.0,2.0,556821.5555,4458104.572,4301353936.0
34.0,2.0,2.0,4.0,2.0,2.0,556821.5555,4458104.572,4301353936.0
34.0,2.0,2.0,4.0,2.0,2.0,556823.7841,4457703.454,4301353936.0
