Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,API
12.0,3.0,2.0,5.0,2.0,2.0,550349.4078,4453167.912,4301353928.0
12.0,3.0,2.0,5.0,2.0,2.0,551144.9383,4453172.914,4301353928.0
12.0,3.0,2.0,5.0,2.0,2.0,551949.5061,4453176.874,4301353928.0
12.0,3.0,2.0,5.0,2.0,2.0,551949.5061,4453176.874,4301353928.0
12.0,3.0,2.0,5.0,2.0,2.0,551949.5061,4453176.874,4301353928.0
12.0,3.0,2.0,5.0,2.0,2.0,551949.5061,4453176.874,4301353928.0
12.0,3.0,2.0,5.0,2.0,2.0,551950.8651,4453984.675,4301353928.0
12.0,3.0,2.0,5.0,2.0,2.0,551957.6353,4454786.758,4301353928.0
12.0,3.0,2.0,5.0,2.0,2.0,551957.6353,4454786.758,4301353928.0
12.0,3.0,2.0,5.0,2.0,2.0,551957.6353,4454786.758,4301353928.0
12.0,3.0,2.0,5.0,2.0,2.0,551957.6353,4454786.758,4301353928.0
12.0,3.0,2.0,5.0,2.0,2.0,551158.8596,4454785.213,4301353928.0
12.0,3.0,2.0,5.0,2.0,2.0,550356.9783,4454786.908,4301353928.0
12.0,3.0,2.0,5.0,2.0,2.0,550356.9783,4454786.908,4301353928.0
12.0,3.0,2.0,5.0,2.0,2.0,550356.9783,4454786.908,4301353928.0
12.0,3.0,2.0,5.0,2.0,2.0,550356.9783,4454786.908,4301353928.0
12.0,3.0,2.0,5.0,2.0,2.0,550356.1201,4453978.533,4301353928.0
12.0,3.0,2.0,5.0,2.0,2.0,550349.4035,4453167.911,4301353928.0
12.0,3.0,2.0,5.0,2.0,2.0,550349.4035,4453167.911,4301353928.0
8.0,2.0,2.0,3.0,2.0,2.0,563168.563,4463110.752,4301353878.0
8.0,2.0,2.0,3.0,2.0,2.0,563570.96,4463110.765,4301353878.0
8.0,2.0,2.0,3.0,2.0,2.0,563975.0976,4463112.264,4301353878.0
8.0,2.0,2.0,3.0,2.0,2.0,564375.696,4463110.007,4301353878.0
8.0,2.0,2.0,3.0,2.0,2.0,564776.2944,4463107.751,4301353878.0
8.0,2.0,2.0,3.0,2.0,2.0,564776.2944,4463107.751,4301353878.0
8.0,2.0,2.0,3.0,2.0,2.0,564777.5527,4463508.894,4301353878.0
8.0,2.0,2.0,3.0,2.0,2.0,564778.811,4463910.038,4301353878.0
8.0,2.0,2.0,3.0,2.0,2.0,564781.5139,4464309.12,4301353878.0
8.0,2.0,2.0,3.0,2.0,2.0,564784.2169,4464708.203,4301353878.0
8.0,2.0,2.0,3.0,2.0,2.0,564784.2169,4464708.203,4301353878.0
8.0,2.0,2.0,3.0,2.0,2.0,564383.1345,4464709.043,4301353878.0
8.0,2.0,2.0,3.0,2.0,2.0,563982.0521,4464709.883,4301353878.0
8.0,2.0,2.0,3.0,2.0,2.0,563580.9697,4464710.723,4301353878.0
8.0,2.0,2.0,3.0,2.0,2.0,563179.8873,4464711.563,4301353878.0
8.0,2.0,2.0,3.0,2.0,2.0,563179.8873,4464711.563,4301353878.0
8.0,2.0,2.0,3.0,2.0,2.0,563178.0602,4464312.755,4301353878.0
8.0,2.0,2.0,3.0,2.0,2.0,563176.233,4463913.946,4301353878.0
8.0,2.0,2.0,3.0,2.0,2.0,563172.4012,4463512.348,4301353878.0
8.0,2.0,2.0,3.0,2.0,2.0,563168.5694,4463110.749,4301353878.0
