Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,Latitude,Longitude,Conc,Version
27,9,2,19,1,1,605071.9522520311,4429217.943664172,40.00662226083101,-109.76896609998448,2709S19ES,AGRC V.1
27,9,2,19,1,1,604924.7677458845,4429267.785094514,40.00708952082755,-109.77068209998455,2709S19ES,AGRC V.1
27,9,2,19,1,1,604869.7495464715,4429292.324597886,40.00731740082623,-109.7713225999846,2709S19ES,AGRC V.1
27,9,2,19,1,1,605958.939368341,4429585.346239426,40.0098208608536,-109.75851639998392,2709S19ES,AGRC V.1
27,9,2,19,1,1,605947.4900143088,4429566.4626784185,40.009652200853274,-109.75865359998392,2709S19ES,AGRC V.1
27,9,2,19,1,1,605933.1419217887,4429566.302769483,40.00965256085291,-109.75882169998393,2709S19ES,AGRC V.1
27,9,2,19,1,1,605960.6993483915,4429590.146692432,40.00986388085367,-109.7584949999839,2709S19ES,AGRC V.1
27,9,2,19,1,1,605958.939368341,4429585.346239426,40.0098208608536,-109.75851639998392,2709S19ES,AGRC V.1
28,9,2,19,1,1,602878.4736424976,4428662.467525559,40.00188875077958,-109.79474769998576,2809S19ES,AGRC V.1
28,9,2,19,1,1,602868.5243105169,4429065.458069528,40.005520020779976,-109.79480039998577,2809S19ES,AGRC V.1
28,9,2,19,1,1,602858.5494350519,4429468.448509254,40.00915129078037,-109.79485339998574,2809S19ES,AGRC V.1
28,9,2,19,1,1,603260.4572139425,4429474.85625896,40.00915995078926,-109.79014439998552,2809S19ES,AGRC V.1
28,9,2,19,1,1,603662.3652859104,4429481.26527857,40.009168430798304,-109.7854353999853,2809S19ES,AGRC V.1
28,9,2,19,1,1,603712.6200650943,4429481.970428383,40.00916861079946,-109.78484659998526,2809S19ES,AGRC V.1
28,9,2,19,1,1,603626.1871967558,4429370.948064302,40.008179160797305,-109.7858767999853,2809S19ES,AGRC V.1
28,9,2,19,1,1,603520.5143240662,4429199.9775194805,40.00665206079466,-109.78714189998539,2809S19ES,AGRC V.1
28,9,2,19,1,1,603462.9357215851,4429074.802589442,40.005531570793174,-109.78783629998543,2809S19ES,AGRC V.1
28,9,2,19,1,1,603439.021062431,4429022.843041592,40.00506646079257,-109.78812469998543,2809S19ES,AGRC V.1
28,9,2,19,1,1,603395.2080940516,4428724.488041003,40.00238431079111,-109.78868539998548,2809S19ES,AGRC V.1
28,9,2,19,1,1,603387.6447665419,4428670.393038037,40.00189796079084,-109.78878259998548,2809S19ES,AGRC V.1
28,9,2,19,1,1,603370.1774846193,4428545.304751896,40.00077333079028,-109.78900709998548,2809S19ES,AGRC V.1
28,9,2,19,1,1,603359.3699862146,4428298.233770718,39.998549090789645,-109.7891729999855,2809S19ES,AGRC V.1
28,9,2,19,1,1,603357.7839492144,4428266.659530777,39.99826487078956,-109.7891965999855,2809S19ES,AGRC V.1
28,9,2,19,1,1,603349.247583442,4428097.44994201,39.996741710789124,-109.78932349998553,2809S19ES,AGRC V.1
28,9,2,19,1,1,603294.8217087969,4427862.433780755,39.994631390787525,-109.78999829998557,2809S19ES,AGRC V.1
28,9,2,19,1,1,602898.4149968897,4427856.501060345,39.99462633077878,-109.79464179998577,2809S19ES,AGRC V.1
28,9,2,19,1,1,602888.4483907813,4428259.4964390425,39.99825765077917,-109.79469469998577,2809S19ES,AGRC V.1
28,9,2,19,1,1,602878.4736424976,4428662.467525559,40.00188875077958,-109.79474769998576,2809S19ES,AGRC V.1
28,9,2,19,1,1,603781.3548051135,4429061.777772929,40.005375170800356,-109.78410859998525,2809S19ES,AGRC V.1
28,9,2,19,1,1,603921.6140117813,4429123.56122838,40.00591445080368,-109.78245579998516,2809S19ES,AGRC V.1
28,9,2,19,1,1,604072.7018307762,4429183.677077994,40.006437350807275,-109.78067639998505,2809S19ES,AGRC V.1
28,9,2,19,1,1,604152.750849645,4429231.932246054,40.0068621508092,-109.77973099998502,2809S19ES,AGRC V.1
28,9,2,19,1,1,604152.8498899238,4429224.699826764,40.00679699080918,-109.77973099998502,2809S19ES,AGRC V.1
28,9,2,19,1,1,604155.0109285058,4429066.887480542,40.00537519080899,-109.77973099998503,2809S19ES,AGRC V.1
28,9,2,19,1,1,604171.4325336993,4428671.318690976,40.00180998080876,-109.77960209998503,2809S19ES,AGRC V.1
28,9,2,19,1,1,604187.8408460717,4428275.527920762,39.9982427708085,-109.77947339998502,2809S19ES,AGRC V.1
28,9,2,19,1,1,603785.215524837,4428270.022652614,39.99824275079923,-109.78418989998528,2809S19ES,AGRC V.1
28,9,2,19,1,1,603521.2064151645,4428266.423548468,39.99824273079324,-109.78728259998543,2809S19ES,AGRC V.1
