,FID_Bounded_groups3_1,Field3_1,POINT_X,POINT_Y
311,28,Imperial Group,-110.8724908,44.53161998
312,28,Imperial Group,-110.8725131,44.53155235
313,28,Imperial Group,-110.8725451,44.53148672
314,28,Imperial Group,-110.8725862,44.53142379
315,28,Imperial Group,-110.8726363,44.53136421
316,28,Imperial Group,-110.8726946,44.53130863
317,28,Imperial Group,-110.8727606,44.53125764
318,28,Imperial Group,-110.8728335,44.53121176
319,28,Imperial Group,-110.8729127,44.5311715
320,28,Imperial Group,-110.8729972,44.53113727
321,28,Imperial Group,-110.8730863,44.53110945
322,28,Imperial Group,-110.8731788,44.53108831
323,28,Imperial Group,-110.8732739,44.5310741
324,28,Imperial Group,-110.8733705,44.53106696
325,29,Kaleidoscope Group,-110.8149714,44.55332997
326,29,Kaleidoscope Group,-110.8150686,44.55332997
327,29,Kaleidoscope Group,-110.8151653,44.55333711
328,29,Kaleidoscope Group,-110.8152604,44.55335133
329,29,Kaleidoscope Group,-110.815353,44.55337246
330,29,Kaleidoscope Group,-110.815442,44.55340029
331,29,Kaleidoscope Group,-110.8155266,44.55343451
332,29,Kaleidoscope Group,-110.8156058,44.55347478
333,29,Kaleidoscope Group,-110.8156788,44.55352065
334,29,Kaleidoscope Group,-110.8157448,44.55357164
335,29,Kaleidoscope Group,-110.8158031,44.55362722
336,29,Kaleidoscope Group,-110.8158532,44.5536868
337,29,Kaleidoscope Group,-110.8158944,44.55374973
338,29,Kaleidoscope Group,-110.8159263,44.55381536
339,29,Kaleidoscope Group,-110.8159486,44.553883
340,29,Kaleidoscope Group,-110.8159611,44.55395191
341,29,Kaleidoscope Group,-110.8159636,44.55402137
342,29,Kaleidoscope Group,-110.8159561,44.55409066
343,29,Kaleidoscope Group,-110.8159387,44.55415902
344,29,Kaleidoscope Group,-110.8159115,44.55422574
345,29,Kaleidoscope Group,-110.8158749,44.55429011
346,29,Kaleidoscope Group,-110.8158292,44.55435145
347,29,Kaleidoscope Group,-110.815775,44.5544091
348,29,Kaleidoscope Group,-110.8157127,44.55446246
349,29,Kaleidoscope Group,-110.8156431,44.55451096
350,29,Kaleidoscope Group,-110.8155669,44.55455408
351,29,Kaleidoscope Group,-110.8154849,44.55459138
352,29,Kaleidoscope Group,-110.815398,44.55462245
353,29,Kaleidoscope Group,-110.813824,44.55514192
354,29,Kaleidoscope Group,-110.8137331,44.55516643
355,29,Kaleidoscope Group,-110.8136391,44.55518413
356,29,Kaleidoscope Group,-110.8132348,44.55523372
357,29,Kaleidoscope Group,-110.8131388,44.55524441
358,29,Kaleidoscope Group,-110.8105829,44.55546185
359,29,Kaleidoscope Group,-110.8104858,44.55546543
360,29,Kaleidoscope Group,-110.8103887,44.55546185
361,29,Kaleidoscope Group,-110.8097708,44.55540844
362,29,Kaleidoscope Group,-110.8096748,44.55539775
363,29,Kaleidoscope Group,-110.8095808,44.55538005
364,29,Kaleidoscope Group,-110.8094899,44.55535554
365,29,Kaleidoscope Group,-110.809403,44.55532447
366,29,Kaleidoscope Group,-110.809321,44.55528717
367,29,Kaleidoscope Group,-110.8092448,44.55524405
368,29,Kaleidoscope Group,-110.8091752,44.55519555
369,29,Kaleidoscope Group,-110.8091129,44.55514219
370,29,Kaleidoscope Group,-110.8090587,44.55508454
371,29,Kaleidoscope Group,-110.809013,44.5550232
372,29,Kaleidoscope Group,-110.8089764,44.55495883
373,29,Kaleidoscope Group,-110.8089492,44.55489211
374,29,Kaleidoscope Group,-110.8089318,44.55482375
375,29,Kaleidoscope Group,-110.8089243,44.55475446
376,29,Kaleidoscope Group,-110.8089268,44.554685
377,29,Kaleidoscope Group,-110.8089393,44.55461609
378,29,Kaleidoscope Group,-110.8089616,44.55454845
379,29,Kaleidoscope Group,-110.8089935,44.55448282
380,29,Kaleidoscope Group,-110.8090347,44.55441989
381,29,Kaleidoscope Group,-110.8090847,44.55436031
382,29,Kaleidoscope Group,-110.8091431,44.55430473
383,29,Kaleidoscope Group,-110.8092091,44.55425374
384,29,Kaleidoscope Group,-110.8092821,44.55420787
385,29,Kaleidoscope Group,-110.810518,44.55348689
386,29,Kaleidoscope Group,-110.8105972,44.55344662
387,29,Kaleidoscope Group,-110.8106818,44.5534124
388,29,Kaleidoscope Group,-110.8107708,44.55338457
389,29,Kaleidoscope Group,-110.8108634,44.55336344
390,29,Kaleidoscope Group,-110.8109585,44.55334922
391,29,Kaleidoscope Group,-110.8110552,44.55334208
392,29,Kaleidoscope Group,-110.8149714,44.55332997
393,35,Marshall's Hotel Group,-110.8334857,44.57074301
394,35,Marshall's Hotel Group,-110.8335829,44.57074301
395,35,Marshall's Hotel Group,-110.8336796,44.57075015
396,35,Marshall's Hotel Group,-110.8337748,44.57076437
397,35,Marshall's Hotel Group,-110.8338674,44.5707855
398,35,Marshall's Hotel Group,-110.8339564,44.57081333
399,35,Marshall's Hotel Group,-110.834041,44.57084755
400,35,Marshall's Hotel Group,-110.8341203,44.57088782
401,35,Marshall's Hotel Group,-110.8341933,44.57093369
402,35,Marshall's Hotel Group,-110.8342593,44.57098469
403,35,Marshall's Hotel Group,-110.8343177,44.57104026
404,35,Marshall's Hotel Group,-110.8365344,44.57324784
405,35,Marshall's Hotel Group,-110.8365845,44.57330741
406,35,Marshall's Hotel Group,-110.8366257,44.57337034
407,35,Marshall's Hotel Group,-110.8366576,44.57343598
408,35,Marshall's Hotel Group,-110.8366799,44.57350361
409,35,Marshall's Hotel Group,-110.8366924,44.57357252
410,35,Marshall's Hotel Group,-110.8366949,44.57364198
411,35,Marshall's Hotel Group,-110.8366874,44.57371127
412,35,Marshall's Hotel Group,-110.83667,44.57377963
413,35,Marshall's Hotel Group,-110.8366428,44.57384635
414,35,Marshall's Hotel Group,-110.8366062,44.57391072
415,35,Marshall's Hotel Group,-110.8365605,44.57397205
416,35,Marshall's Hotel Group,-110.8365062,44.57402971
417,35,Marshall's Hotel Group,-110.836444,44.57408307
418,35,Marshall's Hotel Group,-110.8363743,44.57413157
419,35,Marshall's Hotel Group,-110.8318962,44.57681834
420,35,Marshall's Hotel Group,-110.8318199,44.57686146
421,35,Marshall's Hotel Group,-110.8317379,44.57689876
422,35,Marshall's Hotel Group,-110.8316509,44.57692982
423,35,Marshall's Hotel Group,-110.83156,44.57695434
424,35,Marshall's Hotel Group,-110.831466,44.57697203
425,35,Marshall's Hotel Group,-110.8313699,44.57698273
426,35,Marshall's Hotel Group,-110.8312728,44.57698631
427,35,Marshall's Hotel Group,-110.8311757,44.57698273
428,35,Marshall's Hotel Group,-110.8310796,44.57697203
429,35,Marshall's Hotel Group,-110.8309856,44.57695434
430,35,Marshall's Hotel Group,-110.8308947,44.57692982
431,35,Marshall's Hotel Group,-110.8308077,44.57689876
432,35,Marshall's Hotel Group,-110.8307257,44.57686146
433,35,Marshall's Hotel Group,-110.8306494,44.57681834
434,35,Marshall's Hotel Group,-110.8305798,44.57676984
435,35,Marshall's Hotel Group,-110.8305175,44.57671648
436,35,Marshall's Hotel Group,-110.8304633,44.57665882
437,35,Marshall's Hotel Group,-110.8304176,44.57659749
438,35,Marshall's Hotel Group,-110.8303809,44.57653312
439,35,Marshall's Hotel Group,-110.8303538,44.5764664
440,35,Marshall's Hotel Group,-110.8303363,44.57639804
441,35,Marshall's Hotel Group,-110.8303288,44.57632875
442,35,Marshall's Hotel Group,-110.8303313,44.57625929
443,35,Marshall's Hotel Group,-110.8303438,44.57619038
444,35,Marshall's Hotel Group,-110.8303662,44.57612275
445,35,Marshall's Hotel Group,-110.8326277,44.5712284
446,35,Marshall's Hotel Group,-110.8326597,44.57116277
447,35,Marshall's Hotel Group,-110.8327009,44.57109984
448,35,Marshall's Hotel Group,-110.8327509,44.57104026
449,35,Marshall's Hotel Group,-110.8328093,44.57098469
450,35,Marshall's Hotel Group,-110.8328753,44.57093369
451,35,Marshall's Hotel Group,-110.8329483,44.57088782
452,35,Marshall's Hotel Group,-110.8330276,44.57084755
453,35,Marshall's Hotel Group,-110.8331122,44.57081333
454,35,Marshall's Hotel Group,-110.8332012,44.5707855
455,35,Marshall's Hotel Group,-110.8332938,44.57076437
456,35,Marshall's Hotel Group,-110.833389,44.57075015
457,35,Marshall's Hotel Group,-110.8334857,44.57074301
458,40,Morning Mist Group,-110.7933532,44.57495808
459,40,Morning Mist Group,-110.7934504,44.57495808
460,40,Morning Mist Group,-110.7935471,44.57496523
461,40,Morning Mist Group,-110.7936423,44.57497944
462,40,Morning Mist Group,-110.7937349,44.57500057
463,40,Morning Mist Group,-110.793824,44.5750284
464,40,Morning Mist Group,-110.7939086,44.57506262
465,40,Morning Mist Group,-110.7939878,44.57510289
466,40,Morning Mist Group,-110.7940608,44.57514876
467,40,Morning Mist Group,-110.7941269,44.57519976
468,40,Morning Mist Group,-110.7941852,44.57525534
469,40,Morning Mist Group,-110.7942353,44.57531491
470,40,Morning Mist Group,-110.7942765,44.57537784
471,40,Morning Mist Group,-110.7943084,44.57544348
472,40,Morning Mist Group,-110.7943308,44.57551111
473,40,Morning Mist Group,-110.7943432,44.57558002
474,40,Morning Mist Group,-110.7943458,44.57564948
475,40,Morning Mist Group,-110.7943383,44.57571877
476,40,Morning Mist Group,-110.7943208,44.57578713
477,40,Morning Mist Group,-110.7942937,44.57585385
478,40,Morning Mist Group,-110.794257,44.57591822
479,40,Morning Mist Group,-110.7942113,44.57597955
480,40,Morning Mist Group,-110.7941571,44.57603721
481,40,Morning Mist Group,-110.7940948,44.57609057
482,40,Morning Mist Group,-110.7940252,44.57613907
483,40,Morning Mist Group,-110.7939489,44.57618219
484,40,Morning Mist Group,-110.7938669,44.57621949
485,40,Morning Mist Group,-110.7937799,44.57625055
486,40,Morning Mist Group,-110.793689,44.57627507
487,40,Morning Mist Group,-110.793595,44.57629276
488,40,Morning Mist Group,-110.7934989,44.57630346
489,40,Morning Mist Group,-110.7934018,44.57630704
490,40,Morning Mist Group,-110.7933047,44.57630346
491,40,Morning Mist Group,-110.7932086,44.57629276
492,40,Morning Mist Group,-110.7931146,44.57627507
493,40,Morning Mist Group,-110.7930237,44.57625055
494,40,Morning Mist Group,-110.7929367,44.57621949
495,40,Morning Mist Group,-110.7928547,44.57618219
496,40,Morning Mist Group,-110.7927784,44.57613907
497,40,Morning Mist Group,-110.7927088,44.57609057
498,40,Morning Mist Group,-110.7926465,44.57603721
499,40,Morning Mist Group,-110.7925923,44.57597955
500,40,Morning Mist Group,-110.7925466,44.57591822
501,40,Morning Mist Group,-110.7925099,44.57585385
502,40,Morning Mist Group,-110.7924828,44.57578713
503,40,Morning Mist Group,-110.7924653,44.57571877
504,40,Morning Mist Group,-110.7924578,44.57564948
505,40,Morning Mist Group,-110.7924603,44.57558002
506,40,Morning Mist Group,-110.7924728,44.57551111
507,40,Morning Mist Group,-110.7924952,44.57544348
508,40,Morning Mist Group,-110.7925271,44.57537784
509,40,Morning Mist Group,-110.7925683,44.57531491
510,40,Morning Mist Group,-110.7926184,44.57525534
511,40,Morning Mist Group,-110.7926767,44.57519976
512,40,Morning Mist Group,-110.7927428,44.57514876
513,40,Morning Mist Group,-110.7928158,44.57510289
514,40,Morning Mist Group,-110.792895,44.57506262
515,40,Morning Mist Group,-110.7929796,44.5750284
516,40,Morning Mist Group,-110.7930687,44.57500057
517,40,Morning Mist Group,-110.7931613,44.57497944
518,40,Morning Mist Group,-110.7932565,44.57496523
519,40,Morning Mist Group,-110.7933532,44.57495808
520,51,Pink Cone Group,-110.7962008,44.5422108
521,51,Pink Cone Group,-110.796298,44.5422108
522,51,Pink Cone Group,-110.7963946,44.54221794
523,51,Pink Cone Group,-110.7964897,44.54223216
524,51,Pink Cone Group,-110.7965823,44.54225329
525,51,Pink Cone Group,-110.7966713,44.54228111
526,51,Pink Cone Group,-110.7967559,44.54231534
527,51,Pink Cone Group,-110.7968351,44.5423556
528,51,Pink Cone Group,-110.7969081,44.54240148
