Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,API,Conc
13,3,2,5,2,2,550349.168,4453175.115,4301354007,1332522
13,3,2,5,2,2,550349.7616,4452772.396,4301354007,1332522
13,3,2,5,2,2,550350.3551,4452369.676,4301354007,1332522
13,3,2,5,2,2,550354.1791,4451966.029,4301354007,1332522
13,3,2,5,2,2,550358.0031,4451562.383,4301354007,1332522
36,7,2,20,1,1,616954.9618,4446337.812,4304756516,36722011
36,7,2,20,1,1,616954.9618,4446337.812,4304756516,36722011
36,7,2,20,1,1,617764.9978,4446346.464,4304756516,36722011
36,7,2,20,1,1,618575.0388,4446355.21,4304756516,36722011
36,7,2,20,1,1,618575.0388,4446355.21,4304756516,36722011
36,7,2,20,1,1,618575.0388,4446355.21,4304756516,36722011
36,7,2,20,1,1,618568.5843,4446735.122,4304756516,36722011
36,7,2,20,1,1,618561.1303,4447157.469,4304756516,36722011
36,7,2,20,1,1,618555.2029,4447558.826,4304756516,36722011
36,7,2,20,1,1,618553.1976,4447976.61,4304756516,36722011
36,7,2,20,1,1,618553.1976,4447976.61,4304756516,36722011
36,7,2,20,1,1,618553.1976,4447976.61,4304756516,36722011
36,7,2,20,1,1,617767.0849,4447994.259,4304756516,36722011
36,7,2,20,1,1,616981.837,4448012.002,4304756516,36722011
36,7,2,20,1,1,616981.837,4448012.002,4304756516,36722011
36,7,2,20,1,1,616981.837,4448012.002,4304756516,36722011
36,7,2,20,1,1,616975.1817,4447592.876,4304756516,36722011
36,7,2,20,1,1,616968.4756,4447173.747,4304756516,36722011
36,7,2,20,1,1,616961.6969,4446755.662,4304756516,36722011
36,7,2,20,1,1,616954.9626,4446337.812,4304756516,36722011
30,2,2,1,1,2,590532.8563,4458651.404,4304756078,3022112
30,2,2,1,1,2,590532.8563,4458651.404,4304756078,3022112
30,2,2,1,1,2,591343.9841,4458645.977,4304756078,3022112
30,2,2,1,1,2,592145.6227,4458640.928,4304756078,3022112
30,2,2,1,1,2,592145.6227,4458640.928,4304756078,3022112
30,2,2,1,1,2,592145.6227,4458640.928,4304756078,3022112
30,2,2,1,1,2,592145.6227,4458640.928,4304756078,3022112
30,2,2,1,1,2,592139.3366,4459444.262,4304756078,3022112
30,2,2,1,1,2,592148.9793,4460249.141,4304756078,3022112
30,2,2,1,1,2,592148.9793,4460249.141,4304756078,3022112
30,2,2,1,1,2,592148.9793,4460249.141,4304756078,3022112
30,2,2,1,1,2,591744.1248,4460250.484,4304756078,3022112
30,2,2,1,1,2,591339.2734,4460251.826,4304756078,3022112
30,2,2,1,1,2,590526.1065,4460263.165,4304756078,3022112
30,2,2,1,1,2,590526.1065,4460263.165,4304756078,3022112
30,2,2,1,1,2,590526.1065,4460263.165,4304756078,3022112
30,2,2,1,1,2,590526.1065,4460263.165,4304756078,3022112
30,2,2,1,1,2,590526.2978,4459457.646,4304756078,3022112
30,2,2,1,1,2,590532.8557,4458651.553,4304756078,3022112
30,2,2,1,1,2,590532.8557,4458651.553,4304756078,3022112
7,3,2,4,2,2,551944.5001,4453179.5,4301354097,732422
7,3,2,4,2,2,551944.5001,4453179.5,4301354097,732422
7,3,2,4,2,2,552752.0694,4453182.961,4301354097,732422
7,3,2,4,2,2,553559.6256,4453185.894,4301354097,732422
7,3,2,4,2,2,553559.6256,4453185.894,4301354097,732422
7,3,2,4,2,2,553559.6256,4453185.894,4301354097,732422
7,3,2,4,2,2,553559.6256,4453185.894,4301354097,732422
7,3,2,4,2,2,553559.9529,4453989.773,4301354097,732422
7,3,2,4,2,2,553563.5808,4454791.794,4301354097,732422
7,3,2,4,2,2,553563.5808,4454791.794,4301354097,732422
7,3,2,4,2,2,553563.5808,4454791.794,4301354097,732422
7,3,2,4,2,2,553160.8154,4454791.206,4301354097,732422
7,3,2,4,2,2,552758.1111,4454790.586,4301354097,732422
7,3,2,4,2,2,551952.6323,4454789.387,4301354097,732422
7,3,2,4,2,2,551952.6323,4454789.387,4301354097,732422
7,3,2,4,2,2,551952.6323,4454789.387,4301354097,732422
7,3,2,4,2,2,551952.6323,4454789.387,4301354097,732422
7,3,2,4,2,2,551945.862,4453987.304,4301354097,732422
7,3,2,4,2,2,551944.5031,4453179.502,4301354097,732422
7,3,2,4,2,2,551944.5031,4453179.502,4301354097,732422
26,2,2,4,2,2,558413.8278,4458099.059,4301354102,2622422
26,2,2,4,2,2,558413.8278,4458099.059,4301354102,2622422
26,2,2,4,2,2,560021.7208,4458099.55,4301354102,2622422
26,2,2,4,2,2,560021.7208,4458099.55,4301354102,2622422
26,2,2,4,2,2,560021.7208,4458099.55,4301354102,2622422
26,2,2,4,2,2,560021.7208,4458099.55,4301354102,2622422
26,2,2,4,2,2,560021.7208,4458099.55,4301354102,2622422
26,2,2,4,2,2,560021.7208,4458099.55,4301354102,2622422
26,2,2,4,2,2,560014.5064,4459710.027,4301354102,2622422
26,2,2,4,2,2,560014.5064,4459710.027,4301354102,2622422
26,2,2,4,2,2,560014.5064,4459710.027,4301354102,2622422
26,2,2,4,2,2,560014.5064,4459710.027,4301354102,2622422
26,2,2,4,2,2,560014.5064,4459710.027,4301354102,2622422
26,2,2,4,2,2,558401.8634,4459712.607,4301354102,2622422
26,2,2,4,2,2,558401.8634,4459712.607,4301354102,2622422
26,2,2,4,2,2,558401.8634,4459712.607,4301354102,2622422
26,2,2,4,2,2,558401.8634,4459712.607,4301354102,2622422
26,2,2,4,2,2,558414.8911,4458905.001,4301354102,2622422
26,2,2,4,2,2,558413.8283,4458099.062,4301354102,2622422
26,2,2,4,2,2,558413.8283,4458099.062,4301354102,2622422
7,3,2,1,2,2,580952.3405,4453674.629,4301353955,732122
7,3,2,1,2,2,580952.3405,4453674.629,4301353955,732122
7,3,2,1,2,2,582558.5728,4453688.584,4301353955,732122
7,3,2,1,2,2,582558.5728,4453688.584,4301353955,732122
7,3,2,1,2,2,582558.5728,4453688.584,4301353955,732122
7,3,2,1,2,2,582558.5728,4453688.584,4301353955,732122
7,3,2,1,2,2,582558.5885,4454092.453,4301353955,732122
7,3,2,1,2,2,582558.4738,4454500.285,4301353955,732122
7,3,2,1,2,2,582554.7263,4455311.38,4301353955,732122
7,3,2,1,2,2,582554.7263,4455311.38,4301353955,732122
7,3,2,1,2,2,582554.7263,4455311.38,4301353955,732122
7,3,2,1,2,2,582554.7263,4455311.38,4301353955,732122
7,3,2,1,2,2,581746.049,4455308.302,4301353955,732122
7,3,2,1,2,2,580948.7192,4455288.112,4301353955,732122
7,3,2,1,2,2,580948.7192,4455288.112,4301353955,732122
7,3,2,1,2,2,580948.7192,4455288.112,4301353955,732122
7,3,2,1,2,2,580948.7192,4455288.112,4301353955,732122
7,3,2,1,2,2,580950.03,4454481.042,4301353955,732122
7,3,2,1,2,2,580951.5396,4454077.703,4301353955,732122
7,3,2,1,2,2,580952.3428,4453674.627,4301353955,732122
22,2,2,3,2,2,566405.0838,4459922.469,4301353776,2222322
22,2,2,3,2,2,566807.8514,4459920.793,4301353776,2222322
22,2,2,3,2,2,567210.619,4459919.118,4301353776,2222322
22,2,2,3,2,2,567613.3866,4459917.442,4301353776,2222322
22,2,2,3,2,2,568016.1543,4459915.767,4301353776,2222322
22,2,2,3,2,2,568016.1543,4459915.767,4301353776,2222322
22,2,2,3,2,2,568016.44,4460313.942,4301353776,2222322
22,2,2,3,2,2,568016.7257,4460712.118,4301353776,2222322
