Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,Latitude,Longitude,Conc,Version
7,5,2,3,1,2,608473.0072720816,4436537.059675589,40.072119263843824,-109.72790339697869,0705S03EU,V.1
7,5,2,3,1,2,609791.8927592287,4436581.381325972,40.072347632233196,-109.71243256537328,0705S03EU,V.1
7,5,2,3,1,2,611111.1274847874,4436610.224720021,40.072434468170975,-109.69696024873006,0705S03EU,V.1
7,5,2,3,1,2,612397.0601044951,4436666.650835174,40.07277212619334,-109.68187360716217,0705S03EU,V.1
7,5,2,3,1,2,612423.7978351581,4435348.071896976,40.060891711261974,-109.68178910756455,0705S03EU,V.1
7,5,2,3,1,2,612450.535565821,4434029.492958778,40.0490112729528,-109.68170458088308,0705S03EU,V.1
7,5,2,3,1,2,612477.2732964839,4432710.91402058,40.03713081126791,-109.68162002711107,0705S03EU,V.1
7,5,2,3,1,2,612504.0110271468,4431392.335082382,40.02525032620928,-109.6815354462418,0705S03EU,V.1
7,5,2,3,1,2,611184.6619878605,4431365.594533877,40.025184336172394,-109.69699803653246,0705S03EU,V.1
7,5,2,3,1,2,609865.3129485742,4431338.853985373,40.0251162818064,-109.71246065241591,0705S03EU,V.1
7,5,2,3,1,2,608545.9639092879,4431312.113436868,40.0250461631113,-109.72792329229732,0705S03EU,V.1
7,5,2,3,1,2,607226.6148700017,4431285.372888364,40.024973980087736,-109.74338595458191,0705S03EU,V.1
25,3,2,6,2,2,537195.2091130585,4445687.645068128,40.16072356698509,-110.5632282481593,2503S06WU,V.1
25,3,2,6,2,2,537195.2091130585,4445687.645068128,40.16072356698509,-110.5632282481593,2503S06WU,V.1
25,3,2,6,2,2,537242.8978411384,4450967.429702487,40.208288362739395,-110.56236270675076,2503S06WU,V.1
25,3,2,6,2,2,537242.8978411384,4450967.429702487,40.208288362739395,-110.56236270675076,2503S06WU,V.1
25,3,2,6,2,2,537242.8978411384,4450967.429702487,40.208288362739395,-110.56236270675076,2503S06WU,V.1
25,3,2,6,2,2,537242.8978411384,4450967.429702487,40.208288362739395,-110.56236270675076,2503S06WU,V.1
25,3,2,6,2,2,539864.427592466,4450948.237961959,40.20799490049502,-110.53155952443515,2503S06WU,V.1
25,3,2,6,2,2,541187.4474338565,4450947.590129606,40.20792510836298,-110.51601348892515,2503S06WU,V.1
25,3,2,6,2,2,542510.0774102145,4450947.340050252,40.20785683173337,-110.50047206140492,2503S06WU,V.1
25,3,2,6,2,2,542512.3352950172,4449631.741987789,40.196004303920134,-110.50053251775981,2503S06WU,V.1
